node_id,clustering_coeff
AVG,0.14089784589308738
65,1.0
76,1.0
96,1.0
235,1.0
333,1.0
342,1.0
386,1.0
444,1.0
460,1.0
497,1.0
498,1.0
597,1.0
661,1.0
666,1.0
692,1.0
768,1.0
786,1.0
800,1.0
3908,1.0
910,1.0
931,1.0
3825,1.0
987,1.0
1048,1.0
1059,1.0
1093,1.0
1094,1.0
6568,1.0
1214,1.0
1252,1.0
1301,1.0
1311,1.0
1333,1.0
1341,1.0
1344,1.0
1388,1.0
1406,1.0
1427,1.0
1430,1.0
1630,1.0
1690,1.0
1782,1.0
1867,1.0
1876,1.0
1923,1.0
1944,1.0
1945,1.0
1952,1.0
2042,1.0
2018,1.0
2044,1.0
2036,1.0
2064,1.0
2141,1.0
2188,1.0
2293,1.0
2359,1.0
2373,1.0
2583,1.0
2715,1.0
2730,1.0
2817,1.0
2898,1.0
2919,1.0
3004,1.0
3061,1.0
3075,1.0
8227,1.0
3118,1.0
3216,1.0
3211,1.0
3247,1.0
3268,1.0
3296,1.0
3361,1.0
5471,1.0
3595,1.0
3604,1.0
3653,1.0
3677,1.0
3685,1.0
3689,1.0
3749,1.0
3750,1.0
3850,1.0
3851,1.0
3881,1.0
3928,1.0
3959,1.0
3989,1.0
3992,1.0
4006,1.0
4095,1.0
4121,1.0
4135,1.0
4190,1.0
4215,1.0
4320,1.0
4327,1.0
4333,1.0
4434,1.0
4446,1.0
4461,1.0
5955,1.0
4565,1.0
4567,1.0
4577,1.0
4623,1.0
4640,1.0
4651,1.0
4655,1.0
4742,1.0
4744,1.0
4799,1.0
5310,1.0
4837,1.0
4838,1.0
4844,1.0
4849,1.0
4851,1.0
4854,1.0
4855,1.0
4870,1.0
4903,1.0
4904,1.0
4906,1.0
4912,1.0
4914,1.0
4922,1.0
4936,1.0
4975,1.0
5046,1.0
5754,1.0
5248,1.0
4591,1.0
5456,1.0
5475,1.0
5516,1.0
5520,1.0
5521,1.0
5581,1.0
5583,1.0
5610,1.0
5670,1.0
5803,1.0
5883,1.0
6046,1.0
6062,1.0
